id,targets,category,name,affected_scope,upstream_fix,status,source,notes
SV-CUR-BTL-001,Scarlet|Violet,battle,Ally Switch Terapagos visual glitch,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-RAID-002,Scarlet|Violet,raid,Interrupted cheer deduction glitch,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-DATA-003,Scarlet|Violet,data,Missing TM Materials item IDs can crash reward display,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-RAID-004,Scarlet|Violet,raid-ui,Missing Focus Energy getting-pumped message,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-BTL-005,Scarlet|Violet,battle-ui,Missing effectiveness/critical-hit messages when no animation plays,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-RAID-006,Scarlet|Violet,raid,Permanent cheer stat preservation after fainting,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-RAID-007,Scarlet|Violet,raid-network,Multiplayer raid Pokémon state can swap between players,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-SW2-008,Scarlet|Violet,encounter,Tarountula tree static encounter may fail on Switch 2,4.0.0 / Switch 2,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-RAID-009,Scarlet|Violet,raid-visual,Zacian form/model mismatch in Tera Raid,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-STORY-010,Scarlet|Violet,battle-script,Terapagos confusion barrier break can create unwinnable state,DLC2,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-BTL-011,Scarlet|Violet,battle,Trick Room effective-speed overflow above 1809,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-BTL-012,Scarlet|Violet,battle,Turn 255+ Future Sight/Doom Desire/Wish counter overflow,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-COLL-013,Scarlet|Violet,collision,Door collision gaps,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-MEM-014,Scarlet|Violet,memory,Long-session memory/resource leak,release through unknown,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-DATA-015,Scarlet|Violet,data,Once-in-a-Lifetime Ribbon grant logic missing,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-SPAWN-016,Scarlet|Violet,spawn,Pokémon/items can spawn out of bounds or inside geometry,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-RNG-017,Scarlet|Violet,breeding,Egg shiny reroll path skips initial personality roll,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
